𠀋	U+2000B
𡈽	U+2123D
𡌛	U+2131B
𡑮	U+2146E
𡢽	U+218BD
𠮟	U+20B9F
𡚴	U+216B4
𡸴	U+21E34
𣇄	U+231C4
𣗄	U+235C4
𣜿	U+2373F
𣝣	U+23763
𣳾	U+23CFE
𤟱	U+247F1
𥒎	U+2548E
𥔎	U+2550E
𥝱	U+25771
𥧄	U+259C4
𥶡	U+25DA1
𦫿	U+26AFF
𦹀	U+26E40
𧃴	U+270F4
𧚄	U+27684
𨉷	U+28277
𨏍	U+283CD
𪆐	U+2A190
𠂉	U+20089
𠂢	U+200A2
𠂤	U+200A4
𠆢	U+201A2
𠈓	U+20213
𠌫	U+2032B
𠎁	U+20381
𠍱	U+20371
𠏹	U+203F9
𠑊	U+2044A
𠔉	U+20509
𠗖	U+205D6
𠘨	U+20628
𠝏	U+2074F
𠠇	U+20807
𠠺	U+2083A
𠢹	U+208B9
𠥼	U+2097C
𠦝	U+2099D
𠫓	U+20AD3
𠬝	U+20B1D
𠵅	U+20D45
𠷡	U+20DE1
𠺕	U+20E95
𠹭	U+20E6D
𠹤	U+20E64
𠽟	U+20F5F
𡈁	U+21201
𡉕	U+21255
𡉻	U+2127B
𡉴	U+21274
𡋤	U+212E4
𡋗	U+212D7
𡋽	U+212FD
𡌶	U+21336
𡍄	U+21344
𡏄	U+213C4
𡑭	U+2146D
𡗗	U+215D7
𦰩	U+26C29
𡙇	U+21647
𡜆	U+21706
𡝂	U+21742
𡧃	U+219C3
𡱖	U+21C56
𡴭	U+21D2D
𡵅	U+21D45
𡵸	U+21D78
𡵢	U+21D62
𡶡	U+21DA1
𡶜	U+21D9C
𡶒	U+21D92
𡶷	U+21DB7
𡷠	U+21DE0
𡸳	U+21E33
𡼞	U+21F1E
𡽶	U+21F76
𡿺	U+21FFA
𢅻	U+2217B
𢌞	U+2231E
𢎭	U+223AD
𢛳	U+226F3
𢡛	U+2285B
𢢫	U+228AB
𢦏	U+2298F
𢪸	U+22AB8
𢭏	U+22B4F
𢭐	U+22B50
𢭆	U+22B46
𢰝	U+22C1D
𢮦	U+22BA6
𢰤	U+22C24
𢷡	U+22DE1
𣇃	U+231C3
𣇵	U+231F5
𣆶	U+231B6
𣍲	U+23372
𣏓	U+233D3
𣏒	U+233D2
𣏐	U+233D0
𣏤	U+233E4
𣏕	U+233D5
𣏚	U+233DA
𣏟	U+233DF
𣑊	U+2344A
𣑑	U+23451
𣑋	U+2344B
𣑥	U+23465
𣓤	U+234E4
𣕚	U+2355A
𣖔	U+23594
𣘹	U+23639
𣙇	U+23647
𣘸	U+23638
𣘺	U+2363A
𣜜	U+2371C
𣜌	U+2370C
𣝤	U+23764
𣟿	U+237FF
𣟧	U+237E7
𣠤	U+23824
𣠽	U+2383D
𣪘	U+23A98
𣱿	U+23C7F
𣴀	U+23D00
𣵀	U+23D40
𣷺	U+23DFA
𣷹	U+23DF9
𣷓	U+23DD3
𣽾	U+23F7E
𤂖	U+24096
𤄃	U+24103
𤇆	U+241C6
𤇾	U+241FE
𤎼	U+243BC
𤘩	U+24629
𤚥	U+246A5
𤢖	U+24896
𤩍	U+24A4D
𤭖	U+24B56
𤭯	U+24B6F
𤰖	U+24C16
𤴔	U+24D14
𤸎	U+24E0E
𤸷	U+24E37
𤹪	U+24E6A
𤺋	U+24E8B
𥁊	U+2504A
𥁕	U+25055
𥄢	U+25122
𥆩	U+251A9
𥇥	U+251E5
𥇍	U+251CD
𥈞	U+2521E
𥉌	U+2524C
𥐮	U+2542E
𥓙	U+254D9
𥖧	U+255A7
𥞩	U+257A9
𥞴	U+257B4
𥧔	U+259D4
𥫤	U+25AE4
𥫣	U+25AE3
𥫱	U+25AF1
𥮲	U+25BB2
𥱋	U+25C4B
𥱤	U+25C64
𥸮	U+25E2E
𥹖	U+25E56
𥹥	U+25E65
𥹢	U+25E62
𥻘	U+25ED8
𥻂	U+25EC2
𥻨	U+25EE8
𥼣	U+25F23
